word,on,pc,dc,sf,cp
అన్నీ,142,30.9266292799683,3,9,5
ఏది,112,19.78824171651444,3,6,3
అతి,242,24.436429313760097,2,8,5
పన్ను,112,31.135900895236176,4,9,4
మంది,81,25.225412854271152,3,8,5
మాట,145,25.555091515355084,3,10,8
దృష్టి,21,38.53307405399551,5,13,8
ఉంటే,18,30.37232503807636,3,12,9
ఎలా,60,19.509477698814685,2,6,4
ఆయా,70,27.0198831857261,2,10,7
కొని,110,22.141555015527995,2,5,4
మీరు,101,26.32600386769494,2,8,6
ఉండి,125,27.9421642962079,3,11,8
వృద్ధి,18,35.46920660994071,5,10,7
జ్ఞానం,5,35.35923904424254,4,14,9
మధ్య,87,31.49048715436629,5,9,5
పెట్టి,78,30.91017585545648,4,12,8
అనే,144,22.35775957561318,2,6,4
వేరు,130,23.084501964865822,2,7,5
నీకు,112,23.32384695799644,2,6,4
వాడి,173,23.464557383055972,2,9,7
శాంతి,103,28.245365497303904,5,11,6
కవి,150,18.5421430106362,2,5,3
మన,145,22.263030480712224,2,6,4
నది,126,18.921941427065686,2,5,3
మని,145,22.523366762270005,2,6,4
ఒక,124,17.13823743309117,2,4,2
ఇంత,127,27.120352518091718,3,9,5
ప్రేమ,49,28.647956791473103,4,9,5
వంట,114,24.40344740614225,3,8,5
శబ్దం,22,29.1651490910542,4,9,4
రెండో,8,29.59271107185973,3,10,6
ప్రాంతం,1,30.015123404545697,6,11,6
కూడా,54,26.3268633496274,2,10,8
దూరం,20,24.33490273402464,2,9,6
శతం,23,26.35728456083332,3,9,5
విద్య,56,30.5299661865802,3,7,4
మీకు,94,27.103408147905977,2,8,6
సార్లు,50,29.098112776097786,3,8,5
క్రింది,60,28.19670491384139,4,8,4
పూర్తి,42,30.15112559413156,4,10,6
అలా,154,22.72146706099402,2,7,5
బాగా,54,22.641921358000687,2,7,5
క్రొత్త,36,33.0685178222443,4,11,7
స్పష్టం,4,38.56742952431564,7,12,5
మాత్రం,59,31.37293179774841,4,12,8
ఆరు,155,22.191974384842126,2,7,4
ఎంత,116,25.1123417331292,3,7,4
గుండె,49,26.792572906214705,3,8,5
పాత్ర,69,29.226907943425605,3,10,6
పటం,90,24.686175919995765,4,8,4
ప్రశ్న,25,31.62008392960253,5,11,4
మందు,92,24.188093908359047,3,9,6
మూల,129,24.54914726307871,2,9,7
ఇచ్చి,80,28.818381606919107,3,11,7
వచ్చే,97,30.30541663360676,3,11,8
కాదు,136,23.325249334289328,2,7,5
ఇంకా,36,25.47784859735876,3,8,4
ధర,112,18.4672185438094,3,6,3
తన,132,21.5715394598169,2,6,4
వచ్చి,116,28.558855403620143,3,10,7
ఇవి,102,19.55704436313136,2,7,4
కొత్త,81,29.61182693315395,3,9,7
పట్ల,98,25.09761963181301,4,9,5
ఏదో,59,24.97610705782357,3,9,5
ఇంటి,101,28.359787047633244,3,11,7
సమ,109,22.571795685703144,3,6,3
గత,178,19.996301238047355,2,6,4
పాపం,57,25.870237051662876,4,8,4
లేక,106,21.644486992774667,2,6,4
ప్రభ,33,26.707336920806803,5,8,3
తూర్పు,40,27.37634371895721,2,12,9
అదే,145,22.830622650422367,2,7,5
అవి,185,20.75160465075149,2,6,4
కాంతి,109,28.431554825602543,5,9,5
ఒకే,47,19.254088214135287,2,5,3
అని,201,20.46655746485099,2,5,3
గూర్చి,24,28.23251677942308,4,10,8
ఇలా,71,21.517412386551342,2,8,5
చెప్పు,75,31.314002128302125,4,10,5
వలె,105,20.887927037687607,2,6,4
ద్వారా,39,28.452059189574182,3,9,6
ఇంకో,24,28.912184066135648,3,10,5
అటు,204,24.232951512098087,2,8,6
శక్తి,32,23.2613684668335,3,9,5
ఏమి,84,23.358049574252338,3,7,4
కంటే,35,27.79039324638896,3,9,6
ముందు,81,23.790291090486303,3,10,7
న్యాయం,1,29.289057718309824,4,9,4
ప్రాప్తి,28,32.671835954426626,5,11,6
గొప్ప,51,29.46395693375584,4,9,5
తల్లి,97,28.777835423827028,3,9,6
కల,196,16.79274314607336,2,4,2
అమ్మ,162,32.07747281460995,3,10,6
జిల్లా,34,29.590411389313225,3,10,7
చిన్న,79,28.569981296304537,3,9,5
కొంత,124,30.00711479736541,3,9,6
ఉంది,71,25.73261552053614,3,9,6
ముందే,20,23.790291090486303,3,10,7
కాస్త,75,24.61425326276317,4,7,3
తను,129,25.026195157239208,2,7,5
లేవు,85,26.97328926433588,2,8,5
వాళ్లు,115,31.09714364314872,3,11,8
ఇట్లు,85,28.468510587553997,3,11,7
వస్తే,98,25.655380066042675,4,8,4
దాన్ని,62,29.376394847800984,3,9,5
పది,146,19.521256313216405,3,6,3
ఇల్లు,99,26.7954050342064,3,9,5
రంగు,102,24.05129311009727,3,6,3
