word,on,pc,dc,sf,cp,syllable_structure,syllable_breakup,cluster
కాదు,136,23.325249334289328,2,7,5,C1V.C1V,కా.దు,simple
ఇంకా,36,25.47784859735876,3,8,4,Vm.C1V,ఇం.కా,moderate
ధర,112,18.4672185438094,3,6,3,C1V.C1V,ధ.ర,simple
తన,132,21.5715394598169,2,6,4,C1V.C1V,త.న,simple
వచ్చి,116,28.558855403620143,3,10,7,C1V.C1C1V,వ.చ్చి,complex
ఇవి,102,19.55704436313136,2,7,4,V.C1V,ఇ.వి,simple
కొత్త,81,29.61182693315395,3,9,7,C1V.C1C1V,కొ.త్త,moderate
పట్ల,98,25.09761963181301,4,9,5,C1V.C1C2V,ప.ట్ల,moderate
ఏదో,59,24.97610705782357,3,9,5,V.C1V,ఏ.దో,moderate
ఇంటి,101,28.359787047633244,3,11,7,Vm.C1V,ఇం.టి,complex
సమ,109,22.571795685703144,3,6,3,C1V.C1V,స.మ,simple
గత,178,19.996301238047355,2,6,4,C1V.C1V,గ.త,simple
పాపం,57,25.87023705166288,4,8,4,C1V.C1Vm,పా.పం,moderate
లేక,106,21.644486992774667,2,6,4,C1V.C1V,లే.క,simple
ప్రభ,33,26.707336920806803,5,8,3,C1C2V.C1V,ప్ర.భ,moderate
తూర్పు,40,27.37634371895721,2,12,9,C1V.C1C2V,తూ.ర్పు,complex
అదే,145,22.830622650422367,2,7,5,V.C1V,అ.దే,simple
అవి,185,20.75160465075149,2,6,4,V.C1V,అ.వి,simple
కాంతి,109,28.431554825602543,5,9,5,C1Vm.C1V,కాం.తి,moderate
ఒకే,47,19.254088214135287,2,5,3,V.C1V,ఒ.కే,simple
అని,201,20.46655746485099,2,5,3,V.C1V,అ.ని,simple
గూర్చి,24,28.23251677942308,4,10,8,C1V.C1C2V,గూ.ర్చి,complex
ఇలా,71,21.517412386551342,2,8,5,V.C1V,ఇ.లా,simple
చెప్పు,75,31.314002128302125,4,10,5,C1V.C1C1V,చె.ప్పు,moderate
వలె,105,20.887927037687607,2,6,4,C1V.C1V,వ.లె,simple
ద్వారా,39,28.452059189574182,3,9,6,C1C2V.C1V,ద్వా.రా,moderate
ఇంకో,24,28.912184066135648,3,10,5,Vm.C1V,ఇం.కో,moderate
అటు,204,24.232951512098087,2,8,6,V.C1V,అ.టు,simple
శక్తి,32,23.2613684668335,3,9,5,C1V.C1C2V,శ.క్తి,moderate
ఏమి,84,23.358049574252338,3,7,4,V.C1V,ఏ.మి,simple
కంటే,35,27.79039324638896,3,9,6,C1Vm.C1V,కం.టే,moderate
ముందు,81,23.790291090486303,3,10,7,C1Vm.C1V,ముం.దు,moderate
న్యాయం,1,29.289057718309824,4,9,4,C1C2V.C1Vm,న్యా.యం,moderate
ప్రాప్తి,28,32.671835954426626,5,11,6,C1C2V.C1C2V,ప్రా.ప్తి,complex
గొప్ప,51,29.46395693375584,4,9,5,C1V.C1C1V,గొ.ప్ప,moderate
తల్లి,97,28.777835423827028,3,9,6,C1V.C1C1V,త.ల్లి,moderate
కల,196,16.79274314607336,2,4,2,C1V.C1V,క.ల,simple
అమ్మ,162,32.07747281460995,3,10,6,V.C1C1V,అ.మ్మ,complex
జిల్లా,34,29.590411389313225,3,10,7,C1V.C1C1V,జి.ల్లా,complex
చిన్న,79,28.569981296304537,3,9,5,C1V.C1C1V,చి.న్న,moderate
కొంత,124,30.00711479736541,3,9,6,C1Vm.C1V,కొం.త,moderate
ఉంది,71,25.73261552053614,3,9,6,Vm.C1V,ఉం.ది,moderate
ముందే,20,23.790291090486303,3,10,7,C1Vm.C1V,ముం.దే,moderate
కాస్త,75,24.61425326276317,4,7,3,C1V.C1C2V,కా.స్త,moderate
తను,129,25.026195157239208,2,7,5,C1V.C1V,త.ను,simple
లేవు,85,26.97328926433588,2,8,5,C1V.C1V,లే.వు,moderate
వాళ్లు,115,31.09714364314872,3,11,8,C1V.C1C2V,వా.ళ్లు,complex
ఇట్లు,85,28.468510587554,3,11,7,V.C1C2V,ఇ.ట్లు,complex
వస్తే,98,25.655380066042675,4,8,4,C1V.C1C2V,వ.స్తే,moderate
దాన్ని,62,29.376394847800984,3,9,5,C1V.C1C1V,దా.న్ని,moderate
పది,146,19.521256313216405,3,6,3,C1V.C1V,ప.ది,simple
ఇల్లు,99,26.7954050342064,3,9,5,V.C1C1V,ఇ.ల్లు,moderate
రంగు,102,24.05129311009727,3,6,3,C1Vm.C1V,రం.గు,simple
